"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"17.10.2019","85,44","85,27","86,17","85,27","28,74K","-0,09%"
"16.10.2019","85,52","85,58","85,76","85,33","13,25K","-0,02%"
"15.10.2019","85,54","85,30","85,85","84,92","26,17K","1,03%"
"14.10.2019","84,67","84,56","84,74","84,15","44,43K","-0,48%"
"11.10.2019","85,08","83,53","85,08","83,50","8,81K","2,16%"
"10.10.2019","83,28","82,69","83,38","82,19","32,93K","0,79%"
"09.10.2019","82,63","82,11","82,84","82,07","81,10K","0,60%"
"08.10.2019","82,14","83,16","83,24","82,14","27,09K","-1,23%"
"07.10.2019","83,16","82,52","83,19","82,45","33,40K","0,62%"
"04.10.2019","82,65","82,02","82,65","81,79","94,91K","0,97%"
"02.10.2019","81,86","83,98","83,98","81,86","6,62K","-2,74%"
"01.10.2019","84,17","85,47","85,62","84,17","19,39K","-1,24%"
"30.09.2019","85,23","84,93","85,40","84,93","14,38K","0,26%"
"27.09.2019","85,01","84,96","85,14","84,87","24,19K","0,39%"
"26.09.2019","84,68","84,09","84,82","84,09","14,02K","0,70%"
"25.09.2019","84,09","84,18","84,18","83,37","14,85K","-0,50%"
"24.09.2019","84,51","84,79","84,82","84,51","22,61K","-0,12%"
"23.09.2019","84,61","85,10","85,13","84,36","15,83K","-0,72%"
"20.09.2019","85,22","85,15","85,35","85,07","15,87K","0,18%"
"19.09.2019","85,07","84,45","85,07","84,45","10,41K","0,69%"
"18.09.2019","84,49","84,33","84,65","84,33","15,83K","0,02%"
"17.09.2019","84,47","84,37","84,50","84,11","12,33K","-0,15%"
"16.09.2019","84,60","84,66","84,71","84,47","12,41K","-0,47%"
"13.09.2019","85,00","84,79","85,10","84,65","12,97K","0,27%"
"12.09.2019","84,77","84,72","85,21","84,29","49,08K","0,17%"
"11.09.2019","84,63","84,15","84,63","84,15","68,03K","0,89%"
"10.09.2019","83,88","83,64","83,92","83,38","92,35K","0,05%"
"09.09.2019","83,84","84,19","84,19","83,67","15,22K","-0,24%"
"06.09.2019","84,04","83,72","84,04","83,66","5,04K","0,29%"
"05.09.2019","83,80","83,73","83,80","83,45","24,70K","0,76%"
"04.09.2019","83,17","83,01","83,40","83,00","15,41K","0,87%"
"03.09.2019","82,45","82,35","82,46","82,10","186,48K","-0,13%"
"02.09.2019","82,56","82,55","82,83","82,46","27,74K","0,21%"
"30.08.2019","82,39","81,68","82,53","81,68","370,33K","0,86%"
"29.08.2019","81,69","80,62","81,69","80,62","27,33K","1,11%"
"28.08.2019","80,79","80,75","80,79","80,14","44,17K","-0,32%"
"27.08.2019","81,05","80,29","81,05","80,29","16,74K","0,62%"
"26.08.2019","80,55","80,18","80,58","79,91","3,88K","0,27%"
"23.08.2019","80,33","81,42","81,55","80,33","39,05K","-0,93%"
"22.08.2019","81,08","81,06","81,52","80,89","32,39K","-0,41%"
"21.08.2019","81,41","80,74","81,41","80,74","3,65K","1,16%"
"20.08.2019","80,48","81,01","81,16","80,41","12,83K","-0,63%"
"19.08.2019","80,99","80,78","81,00","80,50","9,54K","1,16%"
"16.08.2019","80,06","79,31","80,07","79,31","7,58K","1,24%"
"15.08.2019","79,08","79,41","79,43","78,26","47,94K","-0,25%"
"14.08.2019","79,28","80,56","80,58","79,25","83,11K","-1,63%"
"13.08.2019","80,59","79,86","80,80","79,57","20,81K","0,62%"
"12.08.2019","80,09","81,04","81,18","80,09","5,59K","-0,35%"
"09.08.2019","80,37","80,95","80,95","80,37","17,02K","-0,83%"
"08.08.2019","81,04","80,49","81,04","80,22","39,08K","1,83%"
"07.08.2019","79,58","79,59","80,23","79,11","50,69K","0,23%"
"06.08.2019","79,40","79,77","80,37","79,40","38,59K","-0,61%"
"05.08.2019","79,89","80,93","80,93","79,69","10,56K","-2,17%"
"02.08.2019","81,66","82,47","82,49","81,56","36,59K","-2,66%"
"01.08.2019","83,89","83,07","83,89","83,07","11,96K","0,73%"
"31.07.2019","83,28","83,11","83,43","83,07","6,52K","0,13%"
"30.07.2019","83,17","84,23","84,26","83,08","27,22K","-1,50%"
"29.07.2019","84,44","84,28","84,79","84,21","15,91K","-0,01%"
"26.07.2019","84,45","84,11","84,48","84,11","8,25K","0,44%"
"25.07.2019","84,08","84,89","85,34","83,86","8,23K","-0,64%"
"24.07.2019","84,62","84,61","84,69","84,34","4,83K","0,06%"
"23.07.2019","84,57","84,16","84,80","84,05","9,47K","0,97%"
"22.07.2019","83,76","83,55","83,89","83,55","13,72K","0,19%"
"19.07.2019","83,60","83,90","84,07","83,47","19,83K","0,14%"
"18.07.2019","83,48","83,19","83,78","83,19","50,05K","-0,31%"
"17.07.2019","83,74","83,99","84,13","83,74","5,19K","-0,36%"
"16.07.2019","84,04","83,74","84,17","83,68","5,80K","0,35%"
"15.07.2019","83,75","83,71","83,87","83,38","44,67K","0,23%"
"12.07.2019","83,56","83,55","83,70","83,49","101,08K","0,06%"
"11.07.2019","83,51","83,88","83,93","83,49","5,05K","-0,13%"
"10.07.2019","83,62","83,56","84,05","83,56","8,09K","-0,19%"
"09.07.2019","83,78","83,81","83,92","83,56","7,36K","-0,50%"
"08.07.2019","84,20","84,12","84,37","84,05","5,05K","-0,12%"
"05.07.2019","84,30","84,77","84,77","84,22","11,14K","-0,70%"
"04.07.2019","84,89","84,92","84,94","84,78","25,83K","0,06%"
"03.07.2019","84,84","84,25","84,84","84,25","12,45K","0,90%"
"02.07.2019","84,08","83,92","84,08","83,82","21,56K","0,35%"
"01.07.2019","83,79","84,21","84,21","83,77","11,92K","0,78%"
"28.06.2019","83,14","82,58","83,14","82,57","1,93K","0,73%"
"27.06.2019","82,54","82,69","82,86","82,28","13,55K","0,04%"
"26.06.2019","82,51","82,62","82,88","82,51","9,21K","-0,35%"
"25.06.2019","82,80","82,60","82,89","82,60","6,41K","-0,08%"
"24.06.2019","82,87","83,14","83,24","82,84","3,50K","-0,30%"
"21.06.2019","83,12","83,45","83,62","83,00","5,80K","-0,35%"
"20.06.2019","83,41","83,66","83,70","83,41","12,83K","0,42%"
"19.06.2019","83,06","83,06","83,09","82,82","7,62K","-0,01%"
"18.06.2019","83,07","81,64","83,18","81,32","40,66K","1,70%"
"17.06.2019","81,68","81,88","81,93","81,54","15,09K","-0,10%"
"14.06.2019","81,76","81,77","81,81","81,43","5,15K","-0,39%"
"13.06.2019","82,08","81,76","82,21","81,71","35,08K","0,24%"
"12.06.2019","81,88","81,73","81,98","81,59","1,75K","-0,28%"
"11.06.2019","82,11","81,79","82,35","81,79","21,65K","0,98%"
"07.06.2019","81,31","80,93","81,57","80,93","153,56K","0,86%"
"06.06.2019","80,62","80,71","81,27","80,62","5,99K","-0,06%"
"05.06.2019","80,67","80,38","80,83","80,36","15,59K","0,39%"
"04.06.2019","80,36","79,34","80,42","79,30","19,36K","0,69%"
"03.06.2019","79,81","79,02","79,81","78,87","28,06K","0,24%"
"31.05.2019","79,62","79,45","79,62","79,04","16,23K","-0,82%"
"30.05.2019","80,28","80,18","80,28","80,13","1,71K","0,59%"
"29.05.2019","79,81","80,36","80,36","79,68","4,74K","-1,31%"
"28.05.2019","80,87","81,23","81,27","80,71","6,22K","-0,37%"
"27.05.2019","81,17","81,40","81,59","81,03","3,64K","0,28%"
"24.05.2019","80,94","80,80","81,15","80,80","21,34K","0,67%"
"23.05.2019","80,40","81,09","81,09","80,32","10,71K","-1,37%"
"22.05.2019","81,52","81,56","81,62","81,12","21,19K","-0,13%"
"21.05.2019","81,63","81,50","81,71","81,29","7,51K","0,67%"
"20.05.2019","81,09","81,93","81,99","80,88","11,80K","-1,01%"
"17.05.2019","81,92","81,79","81,97","81,55","7,69K","-0,41%"
"16.05.2019","82,26","81,06","82,26","81,01","24,33K","1,42%"
"15.05.2019","81,11","80,82","81,11","80,23","84,90K","0,47%"
"14.05.2019","80,73","80,12","80,73","80,12","3,52K","1,15%"
"13.05.2019","79,81","80,87","80,87","79,77","42,56K","-1,30%"
"10.05.2019","80,86","81,19","81,32","80,84","8,33K","0,32%"
"09.05.2019","80,60","81,31","81,38","80,50","6,44K","-1,33%"
"08.05.2019","81,69","81,63","81,86","81,38","21,82K","0,06%"
"07.05.2019","81,64","82,74","82,93","81,54","23,89K","-1,13%"
"06.05.2019","82,57","82,07","82,57","81,69","17,27K","-1,16%"
"03.05.2019","83,54","83,18","83,54","83,11","10,76K","0,55%"
"02.05.2019","83,08","83,42","83,42","83,08","17,59K","-0,51%"
"30.04.2019","83,51","83,52","83,52","83,32","15,82K","0,02%"
"29.04.2019","83,49","83,39","83,60","83,13","45,24K","0,16%"
"26.04.2019","83,36","83,22","83,36","83,01","47,85K","0,22%"
"25.04.2019","83,18","83,29","83,30","82,97","8,48K","-0,17%"
"24.04.2019","83,32","83,27","83,50","83,14","18,50K","-0,08%"
"23.04.2019","83,39","83,07","83,39","82,91","12,32K","0,25%"
"18.04.2019","83,18","82,89","83,26","82,69","15,84K","0,31%"
"17.04.2019","82,92","82,80","83,06","82,66","23,01K","0,12%"
"16.04.2019","82,82","82,65","82,90","82,65","24,75K","0,24%"
"15.04.2019","82,62","82,49","82,68","82,48","11,25K","0,23%"
"12.04.2019","82,43","82,15","82,46","82,11","3,61K","0,17%"
"11.04.2019","82,29","82,18","82,45","81,87","13,84K","0,13%"
"10.04.2019","82,18","82,04","82,25","82,04","9,41K","0,29%"
"09.04.2019","81,94","82,16","82,62","81,92","6,99K","-0,45%"
"08.04.2019","82,31","82,46","82,55","82,21","9,30K","-0,24%"
"05.04.2019","82,51","82,53","82,64","82,35","15,08K","0,17%"
"04.04.2019","82,37","82,35","82,57","82,25","7,84K","-0,21%"
"03.04.2019","82,54","82,27","82,54","82,20","15,45K","0,97%"
"02.04.2019","81,75","81,50","81,85","81,44","10,33K","0,36%"
"01.04.2019","81,46","81,12","81,52","81,09","62,20K","1,08%"
"29.03.2019","80,59","80,34","80,59","80,15","22,08K","0,79%"
"28.03.2019","79,96","80,10","80,35","79,94","9,76K","-0,14%"
"27.03.2019","80,07","80,12","80,36","79,84","146,63K","0,15%"
"26.03.2019","79,95","79,42","80,07","79,36","20,69K","0,83%"
"25.03.2019","79,29","79,24","79,51","79,17","35,02K","-0,48%"
"22.03.2019","79,67","80,90","80,96","79,67","13,58K","-1,15%"
"21.03.2019","80,60","80,53","80,80","80,24","14,29K","-0,20%"
"20.03.2019","80,76","81,18","81,31","80,76","14,68K","-0,87%"
"19.03.2019","81,47","81,16","81,69","81,16","12,42K","0,58%"
"18.03.2019","81,00","80,90","81,00","80,84","7,04K","0,21%"
"15.03.2019","80,83","80,30","80,83","80,25","30,38K","0,72%"
"14.03.2019","80,25","79,86","80,34","79,82","8,24K","0,80%"
"13.03.2019","79,61","79,07","79,61","78,96","218,90K","0,77%"
"12.03.2019","79,00","79,41","79,41","78,88","31,71K","-0,09%"
"11.03.2019","79,07","78,80","79,12","78,65","5,19K","0,73%"
"08.03.2019","78,50","78,65","78,82","78,28","22,14K","-0,91%"
"07.03.2019","79,22","79,31","79,68","78,93","15,35K","-0,29%"
"06.03.2019","79,45","79,52","79,70","79,30","20,22K","-0,14%"
"05.03.2019","79,56","79,28","79,58","79,14","23,32K","0,25%"
"04.03.2019","79,36","79,56","79,59","79,35","9,24K","0,33%"
"01.03.2019","79,10","79,18","79,38","79,06","58,80K","0,37%"
"28.02.2019","78,81","78,41","78,86","78,35","34,13K","0,08%"
"27.02.2019","78,75","78,63","78,78","78,48","10,33K","-0,23%"
"26.02.2019","78,93","78,37","79,03","78,33","72,14K","0,38%"
"25.02.2019","78,63","78,88","78,88","78,56","27,54K","0,19%"
