"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 16, 2019","55.58","55.70","55.78","55.50","13.36K","-0.38%"
"Oct 15, 2019","55.79","55.59","55.88","55.40","58.19K","0.90%"
"Oct 14, 2019","55.29","55.38","55.38","55.00","29.79K","-0.56%"
"Oct 11, 2019","55.60","54.90","55.60","54.90","19.01K","1.50%"
"Oct 10, 2019","54.78","54.39","54.85","54.19","26.31K","0.61%"
"Oct 09, 2019","54.45","54.15","54.57","54.15","47.76K","0.31%"
"Oct 08, 2019","54.28","54.99","54.99","54.26","23.27K","-1.36%"
"Oct 07, 2019","55.03","54.75","55.03","54.67","113.57K","0.57%"
"Oct 04, 2019","54.72","54.26","54.72","54.14","18.23K","1.37%"
"Oct 02, 2019","53.98","55.20","55.20","53.98","34.32K","-2.70%"
"Oct 01, 2019","55.48","56.28","56.28","55.42","95.71K","-0.82%"
"Sep 30, 2019","55.94","55.68","55.97","55.64","45.74K","0.16%"
"Sep 27, 2019","55.85","55.97","56.05","55.68","8.73K","0.23%"
"Sep 26, 2019","55.72","55.68","56.02","55.68","20.88K","0.27%"
"Sep 25, 2019","55.57","55.42","55.60","55.10","16.43K","-0.22%"
"Sep 24, 2019","55.69","55.95","56.04","55.69","16.05K","-0.09%"
"Sep 23, 2019","55.74","55.86","55.91","55.62","30.97K","-0.50%"
"Sep 20, 2019","56.02","55.82","56.08","55.69","39.73K","0.13%"
"Sep 19, 2019","55.95","55.49","55.95","55.49","8.92K","0.87%"
"Sep 18, 2019","55.47","55.53","55.69","55.47","14.52K","-0.16%"
"Sep 17, 2019","55.56","55.68","55.73","55.47","22.89K","-0.36%"
"Sep 16, 2019","55.76","55.47","55.85","55.34","285.36K","0.00%"
"Sep 13, 2019","55.76","55.62","55.84","55.61","11.32K","0.07%"
"Sep 12, 2019","55.72","55.79","56.21","55.61","67.27K","0.11%"
"Sep 11, 2019","55.66","55.22","55.66","55.22","23.52K","1.46%"
"Sep 10, 2019","54.86","55.04","55.06","54.86","42.44K","-0.54%"
"Sep 09, 2019","55.16","55.39","55.39","55.06","67.14K","0.09%"
"Sep 06, 2019","55.11","55.08","55.41","55.00","21.05K","0.07%"
"Sep 05, 2019","55.07","54.95","55.09","54.73","34.72K","1.19%"
"Sep 04, 2019","54.42","54.52","54.69","54.28","51.38K","0.50%"
"Sep 03, 2019","54.15","54.24","54.34","54.06","35.10K","-0.28%"
"Sep 02, 2019","54.30","54.22","54.47","54.20","93.79K","0.13%"
"Aug 30, 2019","54.23","54.03","54.40","54.03","18.75K","0.56%"
"Aug 29, 2019","53.93","53.13","53.93","53.13","17.64K","1.41%"
"Aug 28, 2019","53.18","52.96","53.18","52.72","18.42K","0.17%"
"Aug 27, 2019","53.09","52.87","53.34","52.80","24.18K","0.42%"
"Aug 26, 2019","52.87","52.61","53.12","52.46","75.15K","0.15%"
"Aug 23, 2019","52.79","53.93","54.01","52.79","51.21K","-1.49%"
"Aug 22, 2019","53.59","53.74","53.98","53.44","32.11K","-0.35%"
"Aug 21, 2019","53.78","53.45","53.79","53.45","36.81K","0.47%"
"Aug 20, 2019","53.53","53.77","53.85","53.42","32.16K","-2.17%"
"Aug 19, 2019","54.72","54.62","54.75","54.40","36.94K","1.20%"
"Aug 16, 2019","54.07","53.65","54.15","53.65","31.33K","1.35%"
"Aug 15, 2019","53.35","53.50","53.53","52.67","113.29K","-0.11%"
"Aug 14, 2019","53.41","54.32","54.32","53.25","34.29K","-1.53%"
"Aug 13, 2019","54.24","53.50","54.56","53.29","31.26K","1.02%"
"Aug 12, 2019","53.69","54.40","54.54","53.64","44.82K","-0.43%"
"Aug 09, 2019","53.92","54.46","54.51","53.89","75.22K","-0.75%"
"Aug 08, 2019","54.33","53.84","54.33","53.62","35.72K","2.22%"
"Aug 07, 2019","53.15","53.45","53.85","52.60","64.71K","0.06%"
"Aug 06, 2019","53.12","52.99","53.65","52.92","50.23K","-0.49%"
"Aug 05, 2019","53.38","54.41","54.41","53.27","47.92K","-2.50%"
"Aug 02, 2019","54.75","55.31","55.38","54.69","31.48K","-3.15%"
"Aug 01, 2019","56.53","56.03","56.53","56.03","104.82K","0.55%"
"Jul 31, 2019","56.22","56.07","56.25","56.07","17.57K","0.23%"
"Jul 30, 2019","56.09","56.40","56.41","55.97","26.22K","-0.53%"
"Jul 29, 2019","56.39","56.45","56.59","56.39","30.33K","-0.25%"
"Jul 26, 2019","56.53","56.24","56.53","56.22","19.90K","0.66%"
"Jul 25, 2019","56.16","56.58","56.83","55.95","26.55K","-0.20%"
"Jul 24, 2019","56.27","56.25","56.33","56.10","30.90K","0.36%"
"Jul 23, 2019","56.07","55.86","56.16","55.80","50.62K","0.94%"
"Jul 22, 2019","55.55","55.50","55.69","55.45","35.16K","-0.32%"
"Jul 19, 2019","55.73","55.70","55.82","55.60","10.89K","0.72%"
"Jul 18, 2019","55.33","55.27","55.54","55.22","14.24K","-0.63%"
"Jul 17, 2019","55.68","55.92","55.94","55.63","21.66K","-0.48%"
"Jul 16, 2019","55.95","55.84","56.03","55.81","31.22K","0.27%"
"Jul 15, 2019","55.80","55.80","55.85","55.63","81.27K","0.23%"
"Jul 12, 2019","55.67","55.59","55.73","55.59","11.25K","0.16%"
"Jul 11, 2019","55.58","55.60","55.66","55.44","22.36K","0.20%"
"Jul 10, 2019","55.47","55.35","55.79","55.30","27.24K","0.11%"
"Jul 09, 2019","55.41","55.29","55.46","55.22","10.85K","-0.22%"
"Jul 08, 2019","55.53","55.56","55.63","55.44","45.55K","-0.14%"
"Jul 05, 2019","55.61","55.80","55.80","55.47","38.62K","-0.25%"
"Jul 04, 2019","55.75","55.73","55.79","55.65","25.46K","0.20%"
"Jul 03, 2019","55.64","55.32","55.64","55.32","26.86K","1.02%"
"Jul 02, 2019","55.08","55.15","55.19","54.97","12.73K","0.09%"
"Jul 01, 2019","55.03","55.23","55.23","54.96","94.52K","1.53%"
"Jun 28, 2019","54.20","54.08","54.24","54.08","17.74K","0.46%"
"Jun 27, 2019","53.95","54.16","54.16","53.91","28.65K","0.06%"
"Jun 26, 2019","53.92","53.99","54.24","53.88","26.69K","-0.31%"
"Jun 25, 2019","54.09","54.12","54.27","54.07","15.17K","-0.42%"
"Jun 24, 2019","54.32","54.48","54.53","54.30","39.22K","-0.71%"
"Jun 21, 2019","54.71","54.81","54.84","54.56","10.17K","-0.07%"
"Jun 20, 2019","54.75","54.89","54.98","54.75","40.86K","0.40%"
"Jun 19, 2019","54.53","54.68","54.68","54.51","22.08K","-0.20%"
"Jun 18, 2019","54.64","53.83","54.81","53.76","47.12K","1.41%"
"Jun 17, 2019","53.88","54.06","54.06","53.77","70.31K","0.06%"
"Jun 14, 2019","53.85","53.65","53.88","53.53","37.89K","0.34%"
"Jun 13, 2019","53.67","53.46","53.81","53.46","37.70K","0.41%"
"Jun 12, 2019","53.45","53.38","53.56","53.31","21.33K","-0.37%"
"Jun 11, 2019","53.65","53.65","53.96","53.60","63.42K","0.81%"
"Jun 07, 2019","53.22","53.03","53.28","52.86","38.82K","0.97%"
"Jun 06, 2019","52.71","52.80","53.07","52.67","21.36K","0.27%"
"Jun 05, 2019","52.57","52.45","52.68","52.30","35.88K","0.65%"
"Jun 04, 2019","52.23","51.44","52.23","51.42","39.57K","0.73%"
"Jun 03, 2019","51.85","51.71","51.96","51.52","120.66K","-0.48%"
"May 31, 2019","52.10","52.12","52.12","51.77","37.31K","-0.80%"
"May 30, 2019","52.52","52.63","52.76","52.52","15.30K","0.23%"
"May 29, 2019","52.40","52.59","52.59","52.34","35.40K","-1.13%"
"May 28, 2019","53.00","53.23","53.23","52.90","25.59K","-0.13%"
"May 27, 2019","53.07","53.10","53.24","53.01","22.14K","0.25%"
"May 24, 2019","52.94","53.03","53.21","52.80","26.43K","0.11%"
"May 23, 2019","52.88","53.30","53.32","52.88","19.48K","-1.32%"
"May 22, 2019","53.59","53.63","53.66","53.35","19.54K","-0.11%"
"May 21, 2019","53.65","53.59","53.72","53.45","8.90K","0.64%"
"May 20, 2019","53.31","53.81","53.81","53.12","28.63K","-1.06%"
"May 17, 2019","53.88","53.74","53.97","53.48","24.50K","-0.30%"
"May 16, 2019","54.04","53.21","54.04","53.10","25.40K","1.43%"
"May 15, 2019","53.28","53.11","53.28","52.74","78.24K","0.40%"
"May 14, 2019","53.07","52.47","53.07","52.44","28.37K","1.41%"
"May 13, 2019","52.33","53.12","53.12","52.26","78.36K","-0.83%"
"May 10, 2019","52.77","53.41","53.45","52.75","17.86K","-0.19%"
"May 09, 2019","52.87","53.43","53.54","52.76","42.19K","-1.73%"
"May 08, 2019","53.80","53.89","54.00","53.55","57.18K","-0.35%"
"May 07, 2019","53.99","54.56","54.60","53.88","39.35K","-0.92%"
"May 06, 2019","54.49","54.05","54.55","53.97","62.36K","-0.78%"
"May 03, 2019","54.92","54.71","54.98","54.71","33.21K","0.68%"
"May 02, 2019","54.55","54.71","54.79","54.45","91.50K","-0.31%"
"Apr 30, 2019","54.72","54.85","54.88","54.63","14.46K","-0.55%"
"Apr 29, 2019","55.02","55.00","55.09","54.88","23.59K","0.35%"
"Apr 26, 2019","54.83","54.74","54.87","54.64","15.23K","0.04%"
"Apr 25, 2019","54.81","54.81","54.92","54.56","10.70K","0.16%"
"Apr 24, 2019","54.72","54.68","54.74","54.53","34.74K","0.09%"
"Apr 23, 2019","54.67","54.23","54.67","54.13","42.74K","1.02%"
"Apr 18, 2019","54.12","53.76","54.20","53.73","30.22K","0.46%"
"Apr 17, 2019","53.87","53.98","54.15","53.87","11.09K","-0.30%"
"Apr 16, 2019","54.03","53.93","54.11","53.89","13.70K","0.43%"
"Apr 15, 2019","53.80","53.87","53.91","53.72","97.78K","0.11%"
"Apr 12, 2019","53.74","53.64","53.80","53.58","86.91K","0.06%"
"Apr 11, 2019","53.71","53.77","53.82","53.55","104.26K","-0.02%"
"Apr 10, 2019","53.72","53.67","53.79","53.64","6.17K","0.26%"
"Apr 09, 2019","53.58","53.80","53.85","53.49","15.56K","-0.43%"
"Apr 08, 2019","53.81","53.98","53.98","53.65","38.45K","-0.33%"
"Apr 05, 2019","53.99","53.93","54.05","53.79","49.94K","0.39%"
"Apr 04, 2019","53.78","53.70","53.92","53.64","20.50K","-0.19%"
"Apr 03, 2019","53.88","53.82","53.89","53.70","31.16K","0.48%"
"Apr 02, 2019","53.62","53.56","53.72","53.54","27.95K","0.28%"
"Apr 01, 2019","53.47","53.26","53.49","53.22","79.52K","1.15%"
"Mar 29, 2019","52.86","52.81","52.88","52.70","23.38K","0.74%"
"Mar 28, 2019","52.47","52.40","52.70","52.38","29.74K","0.34%"
"Mar 27, 2019","52.29","52.62","52.67","52.12","8.16K","-0.15%"
"Mar 26, 2019","52.37","52.14","52.58","52.14","30.40K","0.87%"
"Mar 25, 2019","51.92","51.96","52.11","51.80","36.86K","-0.59%"
"Mar 22, 2019","52.23","52.73","52.78","52.23","9.85K","-0.74%"
"Mar 21, 2019","52.62","52.10","52.72","51.99","12.27K","0.77%"
"Mar 20, 2019","52.22","52.59","52.64","52.22","41.20K","-1.12%"
"Mar 19, 2019","52.81","52.72","52.89","52.57","17.72K","0.59%"
"Mar 18, 2019","52.50","52.47","52.59","52.36","20.02K","0.02%"
"Mar 15, 2019","52.49","52.24","52.49","52.19","64.31K","0.48%"
"Mar 14, 2019","52.24","52.26","52.33","52.12","27.25K","-0.02%"
"Mar 13, 2019","52.25","51.97","52.30","51.89","33.08K","0.58%"
"Mar 12, 2019","51.95","52.09","52.10","51.88","13.53K","0.02%"
"Mar 11, 2019","51.94","51.51","52.00","51.42","18.80K","1.45%"
"Mar 08, 2019","51.20","51.40","51.51","51.08","61.02K","-0.93%"
"Mar 07, 2019","51.68","51.54","51.88","51.38","40.33K","-0.08%"
"Mar 06, 2019","51.72","51.89","51.97","51.65","15.96K","-0.52%"
"Mar 05, 2019","51.99","51.85","52.01","51.71","15.37K","0.21%"
"Mar 04, 2019","51.88","52.11","52.20","51.88","24.18K","0.56%"
"Mar 01, 2019","51.59","51.78","51.91","51.59","85.98K","0.06%"
"Feb 28, 2019","51.56","51.44","51.57","51.35","15.24K","-0.14%"
"Feb 27, 2019","51.63","51.54","51.65","51.39","15.36K","-0.29%"
"Feb 26, 2019","51.78","51.65","51.84","51.47","9.17K","-0.27%"
"Feb 25, 2019","51.92","51.82","52.00","51.77","42.11K","0.41%"
"Feb 22, 2019","51.71","51.45","51.74","51.42","16.94K","0.52%"
"Feb 21, 2019","51.44","51.69","51.71","51.32","29.03K","-0.14%"
"Feb 20, 2019","51.51","51.45","51.60","51.33","26.95K","0.19%"
"Feb 19, 2019","51.41","51.45","51.45","51.30","16.29K","-0.08%"
"Feb 18, 2019","51.45","51.50","51.55","51.34","13.40K","0.08%"
"Feb 15, 2019","51.41","50.78","51.57","50.70","62.70K","1.16%"
"Feb 14, 2019","50.82","51.27","51.28","50.71","19.95K","-0.33%"
"Feb 13, 2019","50.99","50.88","51.18","50.80","18.95K","0.59%"
"Feb 12, 2019","50.69","50.64","50.76","50.56","17.53K","0.80%"
"Feb 11, 2019","50.29","50.11","50.39","50.11","41.66K","1.02%"
"Feb 08, 2019","49.78","49.90","50.06","49.70","44.65K","-0.02%"
"Feb 07, 2019","49.79","50.41","50.49","49.79","58.00K","-1.31%"
"Feb 06, 2019","50.45","50.39","50.57","50.30","53.60K","0.10%"
"Feb 05, 2019","50.40","50.05","50.46","50.05","40.31K","1.00%"
"Feb 04, 2019","49.90","49.76","49.90","49.61","23.19K","0.50%"
"Feb 01, 2019","49.65","49.73","49.85","49.49","88.42K","0.16%"
"Jan 31, 2019","49.57","49.35","49.61","49.16","26.12K","0.77%"
"Jan 30, 2019","49.19","48.87","49.19","48.79","13.50K","0.82%"
"Jan 29, 2019","48.79","48.65","49.00","48.62","7.86K","0.37%"
"Jan 28, 2019","48.61","49.05","49.09","48.55","30.52K","-1.26%"
"Jan 25, 2019","49.23","49.26","49.36","49.18","19.59K","0.65%"
"Jan 24, 2019","48.91","48.78","49.03","48.72","7.25K","0.56%"
"Jan 23, 2019","48.64","48.70","49.08","48.60","58.27K","-0.71%"
"Jan 22, 2019","48.99","49.08","49.16","48.88","38.94K","-0.55%"
"Jan 21, 2019","49.26","49.23","49.29","49.15","54.35K","-0.30%"
"Jan 18, 2019","49.41","48.80","49.46","48.79","42.90K","1.92%"
"Jan 17, 2019","48.48","48.12","48.50","48.10","27.16K","0.02%"
"Jan 16, 2019","48.47","48.34","48.47","48.17","13.83K","0.81%"
"Jan 15, 2019","48.08","47.88","48.12","47.70","92.12K","1.11%"
"Jan 14, 2019","47.55","47.42","47.62","47.34","26.29K","-0.25%"
"Jan 11, 2019","47.67","47.61","47.70","47.37","18.49K","0.17%"
"Jan 10, 2019","47.59","47.06","47.59","47.00","24.80K","0.44%"
"Jan 09, 2019","47.38","47.50","47.68","47.22","25.64K","0.49%"
"Jan 08, 2019","47.15","47.15","47.59","47.09","65.48K","0.38%"
"Jan 07, 2019","46.97","46.98","46.98","46.60","104.46K","0.71%"
"Jan 04, 2019","46.64","45.94","46.81","45.80","21.08K","2.08%"
"Jan 03, 2019","45.69","45.88","46.16","45.45","43.70K","-1.36%"
"Jan 02, 2019","46.32","45.43","46.42","45.15","112.28K","0.74%"
"Dec 28, 2018","45.98","45.56","46.11","45.53","19.90K","2.16%"
"Dec 27, 2018","45.01","45.80","45.80","44.60","62.98K","-1.47%"
"Dec 21, 2018","45.68","45.60","46.07","45.37","40.98K","-0.31%"
"Dec 20, 2018","45.82","45.98","46.15","45.77","101.96K","-2.70%"
"Dec 19, 2018","47.09","46.89","47.19","46.85","40.44K","-0.19%"
"Dec 18, 2018","47.18","47.20","47.44","47.05","30.68K","-1.17%"
"Dec 17, 2018","47.74","48.06","48.08","47.40","75.28K","-1.34%"
"Dec 14, 2018","48.39","48.20","48.52","48.14","24.87K","-0.55%"
"Dec 13, 2018","48.66","48.87","48.89","48.50","24.90K","-0.55%"
"Dec 12, 2018","48.93","48.54","49.03","48.50","18.44K","0.87%"
"Dec 11, 2018","48.51","48.12","48.88","48.03","73.60K","1.93%"
"Dec 10, 2018","47.59","48.02","48.21","47.41","185.04K","-1.90%"
"Dec 07, 2018","48.51","48.77","49.32","48.51","141.86K","0.64%"
"Dec 06, 2018","48.20","49.17","49.18","47.94","85.26K","-2.88%"
"Dec 05, 2018","49.63","49.80","49.89","49.63","58.95K","-1.70%"
"Dec 04, 2018","50.49","50.62","50.63","50.40","61.55K","-0.63%"
"Dec 03, 2018","50.81","51.33","51.33","50.77","233.38K","1.22%"
"Nov 30, 2018","50.20","49.99","50.31","49.86","163.49K","0.48%"
"Nov 29, 2018","49.96","50.02","50.09","49.83","181.98K","0.50%"
"Nov 28, 2018","49.71","49.69","49.82","49.59","22.13K","0.57%"
"Nov 27, 2018","49.43","49.38","49.48","49.09","25.13K","0.63%"
"Nov 26, 2018","49.12","48.96","49.28","48.96","8.02K","0.66%"
"Nov 23, 2018","48.80","48.47","48.81","48.41","27.80K","0.99%"
"Nov 22, 2018","48.32","48.66","48.66","48.32","18.99K","-1.25%"
"Nov 21, 2018","48.93","48.60","48.95","48.50","89.32K","0.82%"
"Nov 20, 2018","48.53","48.84","48.85","48.25","122.55K","-1.28%"
"Nov 19, 2018","49.16","49.93","49.97","49.16","9.30K","-1.09%"
"Nov 16, 2018","49.70","49.98","49.98","49.45","7.81K","0.02%"
"Nov 15, 2018","49.69","49.93","49.98","49.33","122.38K","-0.42%"
"Nov 14, 2018","49.90","50.03","50.44","49.90","20.97K","-1.13%"
"Nov 13, 2018","50.47","50.60","50.70","50.14","25.30K","0.04%"
"Nov 12, 2018","50.45","51.20","51.22","50.42","16.32K","-0.69%"
"Nov 09, 2018","50.80","51.02","51.02","50.67","11.82K","-0.37%"
"Nov 08, 2018","50.99","51.02","51.09","50.86","39.56K","0.79%"
"Nov 07, 2018","50.59","50.24","50.59","50.24","67.55K","1.12%"
"Nov 06, 2018","50.03","50.08","50.15","49.83","18.23K","0.32%"
"Nov 05, 2018","49.87","49.84","50.10","49.75","40.95K","0.12%"
"Nov 02, 2018","49.81","50.38","50.40","49.79","46.41K","-0.16%"
"Nov 01, 2018","49.89","49.69","49.92","49.60","185.09K","0.00%"
"Oct 31, 2018","49.89","49.47","50.07","49.45","47.03K","2.28%"
"Oct 30, 2018","48.78","48.76","48.85","48.38","6.76K","-0.27%"
"Oct 29, 2018","48.91","48.62","49.42","48.62","13.71K","0.60%"
"Oct 26, 2018","48.62","48.76","48.76","48.06","26.98K","-1.34%"
"Oct 25, 2018","49.28","48.55","49.28","48.52","29.11K","0.18%"
"Oct 24, 2018","49.19","49.31","49.92","49.15","23.38K","0.29%"
