"Datum","Zuletzt","Eröffn.","Hoch","Tief","Vol.","+/- %"
"17.10.2019","26,84","26,90","26,95","26,84","132,07K","-0,41%"
"16.10.2019","26,95","27,01","27,06","26,93","126,25K","-0,33%"
"15.10.2019","27,04","26,93","27,07","26,89","81,92K","0,67%"
"14.10.2019","26,86","26,88","26,88","26,68","80,29K","-0,52%"
"11.10.2019","27,00","26,70","27,00","26,70","151,38K","1,28%"
"10.10.2019","26,66","26,39","26,70","26,30","89,95K","0,83%"
"09.10.2019","26,44","26,30","26,62","26,29","251,12K","0,23%"
"08.10.2019","26,38","26,71","26,71","26,31","306,68K","-1,42%"
"07.10.2019","26,76","26,67","26,76","26,62","60,84K","0,38%"
"04.10.2019","26,66","26,38","26,66","26,30","148,95K","1,72%"
"02.10.2019","26,21","26,80","26,81","26,21","148,19K","-2,85%"
"01.10.2019","26,98","27,38","27,38","26,98","121,83K","-0,85%"
"30.09.2019","27,21","27,05","27,21","27,04","66,36K","0,26%"
"27.09.2019","27,14","27,20","27,24","27,06","65,66K","0,41%"
"26.09.2019","27,03","27,10","27,24","26,98","55,36K","0,07%"
"25.09.2019","27,01","26,89","27,05","26,76","136,64K","-0,15%"
"24.09.2019","27,05","27,19","27,23","27,05","70,12K","-0,22%"
"23.09.2019","27,11","27,12","27,15","27,03","55,22K","-0,44%"
"20.09.2019","27,23","27,09","27,25","27,06","35,11K","0,04%"
"19.09.2019","27,22","26,97","27,22","26,97","67,47K","0,96%"
"18.09.2019","26,96","27,02","27,07","26,96","34,33K","-0,15%"
"17.09.2019","27,00","27,08","27,11","26,98","92,72K","-0,44%"
"16.09.2019","27,12","26,92","27,16","26,87","160,16K","0,11%"
"13.09.2019","27,09","27,05","27,12","27,02","121,90K","-0,15%"
"12.09.2019","27,13","27,17","27,41","27,05","257,94K","-0,18%"
"11.09.2019","27,18","26,96","27,18","26,96","78,85K","1,53%"
"10.09.2019","26,77","26,91","26,95","26,76","117,85K","-0,70%"
"09.09.2019","26,96","27,07","27,08","26,94","120,69K","-0,04%"
"06.09.2019","26,97","26,95","27,06","26,88","70,83K","0,04%"
"05.09.2019","26,96","26,80","26,96","26,73","149,70K","1,54%"
"04.09.2019","26,55","26,62","26,68","26,48","80,86K","0,34%"
"03.09.2019","26,46","26,51","26,59","26,33","150,97K","-0,34%"
"02.09.2019","26,55","26,51","26,63","26,50","98,19K","0,00%"
"30.08.2019","26,55","26,46","26,64","26,45","208,07K","0,57%"
"29.08.2019","26,40","25,97","26,41","25,96","596,33K","1,58%"
"28.08.2019","25,99","25,84","25,99","25,70","207,18K","0,31%"
"27.08.2019","25,91","25,83","26,07","25,79","232,10K","0,47%"
"26.08.2019","25,79","25,68","25,92","25,60","382,20K","0,08%"
"23.08.2019","25,77","26,45","26,48","25,77","340,41K","-1,87%"
"22.08.2019","26,26","26,34","26,46","26,19","169,76K","-0,27%"
"21.08.2019","26,33","26,20","26,34","26,19","250,97K","0,27%"
"20.08.2019","26,26","26,35","26,40","26,19","303,65K","-0,27%"
"19.08.2019","26,33","26,24","26,33","26,16","48,75K","1,39%"
