Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
11.10.2019;60,9378;60,9378;60,9378;60,9378;;
10.10.2019;60,1189;60,1189;60,1189;60,1189;;
09.10.2019;59,7625;59,7625;59,7625;59,7625;;
08.10.2019;59,3767;59,3767;59,3767;59,3767;;
07.10.2019;60,1496;60,1496;60,1496;60,1496;;
04.10.2019;60,2048;60,2048;60,2048;60,2048;;
02.10.2019;59,2912;59,2912;59,2912;59,2912;;
01.10.2019;60,3242;60,3242;60,3242;60,3242;;
30.09.2019;60,9249;60,9249;60,9249;60,9249;;
27.09.2019;60,7971;60,7971;60,7971;60,7971;;
26.09.2019;60,9678;60,9678;60,9678;60,9678;;
25.09.2019;60,9957;60,9957;60,9957;60,9957;;
24.09.2019;60,9261;60,9261;60,9261;60,9261;;
20.09.2019;61,3541;61,3541;61,3541;61,3541;;
19.09.2019;61,5517;61,5517;61,5517;61,5517;;
18.09.2019;61,4473;61,4473;61,4473;61,4473;;
17.09.2019;61,4668;61,4668;61,4668;61,4668;;
13.09.2019;61,5776;61,5776;61,5776;61,5776;;
12.09.2019;61,4581;61,4581;61,4581;61,4581;;
11.09.2019;61,2466;61,2466;61,2466;61,2466;;
10.09.2019;60,8261;60,8261;60,8261;60,8261;;
09.09.2019;60,7953;60,7953;60,7953;60,7953;;
06.09.2019;60,8057;60,8057;60,8057;60,8057;;
05.09.2019;60,6746;60,6746;60,6746;60,6746;;
04.09.2019;59,9765;59,9765;59,9765;59,9765;;
03.09.2019;59,3355;59,3355;59,3355;59,3355;;
30.08.2019;59,653;59,653;59,653;59,653;;
29.08.2019;59,4959;59,4959;59,4959;59,4959;;
28.08.2019;58,8986;58,8986;58,8986;58,8986;;
27.08.2019;58,6991;58,6991;58,6991;58,6991;;
26.08.2019;58,7071;58,7071;58,7071;58,7071;;
23.08.2019;58,4078;58,4078;58,4078;58,4078;;
22.08.2019;59,439;59,439;59,439;59,439;;
21.08.2019;59,541;59,541;59,541;59,541;;
20.08.2019;59,0941;59,0941;59,0941;59,0941;;
19.08.2019;59,5409;59,5409;59,5409;59,5409;;
16.08.2019;58,8864;58,8864;58,8864;58,8864;;
14.08.2019;58,2424;58,2424;58,2424;58,2424;;
13.08.2019;59,5761;59,5761;59,5761;59,5761;;
09.08.2019;59,5932;59,5932;59,5932;59,5932;;
08.08.2019;59,91;59,91;59,91;59,91;;
07.08.2019;58,9639;58,9639;58,9639;58,9639;;
06.08.2019;58,8315;58,8315;58,8315;58,8315;;
05.08.2019;58,4981;58,4981;58,4981;58,4981;;
02.08.2019;59,9638;59,9638;59,9638;59,9638;;
01.08.2019;60,6077;60,6077;60,6077;60,6077;;
31.07.2019;61,0055;61,0055;61,0055;61,0055;;
30.07.2019;61,4451;61,4451;61,4451;61,4451;;
29.07.2019;61,6953;61,6953;61,6953;61,6953;;
26.07.2019;61,7881;61,7881;61,7881;61,7881;;
25.07.2019;61,5375;61,5375;61,5375;61,5375;;
24.07.2019;61,8374;61,8374;61,8374;61,8374;;
23.07.2019;61,6076;61,6076;61,6076;61,6076;;
22.07.2019;61,275;61,275;61,275;61,275;;
19.07.2019;61,1875;61,1875;61,1875;61,1875;;
18.07.2019;61,2919;61,2919;61,2919;61,2919;;
17.07.2019;61,2764;61,2764;61,2764;61,2764;;
16.07.2019;61,5589;61,5589;61,5589;61,5589;;
12.07.2019;61,6851;61,6851;61,6851;61,6851;;
11.07.2019;61,4792;61,4792;61,4792;61,4792;;
10.07.2019;61,3614;61,3614;61,3614;61,3614;;
09.07.2019;61,1521;61,1521;61,1521;61,1521;;
08.07.2019;61,1703;61,1703;61,1703;61,1703;;
05.07.2019;61,4743;61,4743;61,4743;61,4743;;
03.07.2019;61,6874;61,6874;61,6874;61,6874;;
02.07.2019;61,2679;61,2679;61,2679;61,2679;;
01.07.2019;61,0909;61,0909;61,0909;61,0909;;
28.06.2019;60,7032;60,7032;60,7032;60,7032;;
27.06.2019;60,3697;60,3697;60,3697;60,3697;;
26.06.2019;60,1157;60,1157;60,1157;60,1157;;
25.06.2019;60,2576;60,2576;60,2576;60,2576;;
24.06.2019;60,6587;60,6587;60,6587;60,6587;;
21.06.2019;60,6562;60,6562;60,6562;60,6562;;
19.06.2019;60,1892;60,1892;60,1892;60,1892;;
18.06.2019;59,8902;59,8902;59,8902;59,8902;;
17.06.2019;59,3287;59,3287;59,3287;59,3287;;
14.06.2019;59,3301;59,3301;59,3301;59,3301;;
13.06.2019;59,4934;59,4934;59,4934;59,4934;;
12.06.2019;59,4115;59,4115;59,4115;59,4115;;
11.06.2019;59,559;59,559;59,559;59,559;;
07.06.2019;59,196;59,196;59,196;59,196;;
06.06.2019;58,5611;58,5611;58,5611;58,5611;;
05.06.2019;58,3187;58,3187;58,3187;58,3187;;
04.06.2019;57,8048;57,8048;57,8048;57,8048;;
03.06.2019;56,8997;56,8997;56,8997;56,8997;;
31.05.2019;56,9304;56,9304;56,9304;56,9304;;
29.05.2019;57,4327;57,4327;57,4327;57,4327;;
28.05.2019;57,9761;57,9761;57,9761;57,9761;;
24.05.2019;58,2617;58,2617;58,2617;58,2617;;
23.05.2019;58,0456;58,0456;58,0456;58,0456;;
22.05.2019;58,7125;58,7125;58,7125;58,7125;;
21.05.2019;58,874;58,874;58,874;58,874;;
20.05.2019;58,5017;58,5017;58,5017;58,5017;;
17.05.2019;58,8161;58,8161;58,8161;58,8161;;
16.05.2019;59,0749;59,0749;59,0749;59,0749;;
15.05.2019;58,6142;58,6142;58,6142;58,6142;;
14.05.2019;58,2834;58,2834;58,2834;58,2834;;
13.05.2019;57,9337;57,9337;57,9337;57,9337;;
10.05.2019;59,032;59,032;59,032;59,032;;
08.05.2019;59,151;59,151;59,151;59,151;;
07.05.2019;59,2477;59,2477;59,2477;59,2477;;
26.04.2019;60,2571;60,2571;60,2571;60,2571;;
25.04.2019;60,0172;60,0172;60,0172;60,0172;;
24.04.2019;60,1044;60,1044;60,1044;60,1044;;
23.04.2019;60,2568;60,2568;60,2568;60,2568;;
18.04.2019;59,8542;59,8542;59,8542;59,8542;;
17.04.2019;59,8713;59,8713;59,8713;59,8713;;
16.04.2019;59,9274;59,9274;59,9274;59,9274;;
15.04.2019;59,8724;59,8724;59,8724;59,8724;;
12.04.2019;59,8136;59,8136;59,8136;59,8136;;
11.04.2019;59,4821;59,4821;59,4821;59,4821;;
10.04.2019;59,4867;59,4867;59,4867;59,4867;;
09.04.2019;59,3493;59,3493;59,3493;59,3493;;
08.04.2019;59,6079;59,6079;59,6079;59,6079;;
05.04.2019;59,5209;59,5209;59,5209;59,5209;;
04.04.2019;59,3197;59,3197;59,3197;59,3197;;
03.04.2019;59,313;59,313;59,313;59,313;;
02.04.2019;58,9993;58,9993;58,9993;58,9993;;
